분류,곡ID,곡명,아티스트,장르,어제순위,오늘순위,순위변동,어제좋아요,오늘좋아요,좋아요변동,좋아요변화율(%),어제전체청취자수,오늘전체청취자수,청취자수변동,청취자수변화율(%),어제전체재생수,오늘전체재생수,재생수변동,재생수변화율(%),URL
신규진입,111483543,XOXZ,IVE (아이브),가요 / 댄스,,30.0,,,1170.0,,,,40068.0,,,,134796.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=111483543
신규진입,111455849,CEREMONY,Stray Kids (스트레이 키즈),가요 / 랩/힙합,,59.0,,,3241.0,,,,25311.0,,,,578405.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=111455849
신규진입,110673874,LIKE YOU BETTER,프로미스나인,가요 / 댄스,,83.0,,,5526.0,,,,286128.0,,,,2467366.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=110673874
신규진입,106001078,쏜살,김호중,가요 / 트로트,,88.0,,,4648.0,,,,156827.0,,,,43734586.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001078
신규진입,110665891,Lose My Mind (Feat. Doja Cat),Don Toliver,POP / 팝,,90.0,,,2377.0,,,,82392.0,,,,933773.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=110665891
신규진입,97122560,빛이 나는 사람,김호중,가요 / 발라드,,92.0,,,12704.0,,,,547436.0,,,,99868286.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=97122560
신규진입,106001079,별 헤는 밤,김호중,가요 / 블루스/포크,,94.0,,,4442.0,,,,91060.0,,,,40923519.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001079
신규진입,106001076,바람이 부는 날엔,김호중,가요 / 발라드,,96.0,,,4528.0,,,,97061.0,,,,41155083.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001076
신규진입,106001077,함께 가 줄래,김호중,가요 / 락,,97.0,,,4703.0,,,,117029.0,,,,44416555.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001077
신규진입,81397683,어땠을까 (Feat. 박정현),싸이 (Psy),가요 / 댄스,,98.0,,,34650.0,,,,2233484.0,,,,41251318.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=81397683
신규진입,106001074,그대... 떠나도,김호중,가요 / 발라드,,99.0,,,4723.0,,,,119951.0,,,,43816553.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001074
차트이탈,105872512,Magnetic,아일릿 (ILLIT),가요 / 댄스,84.0,,,22714.0,,,,1373472.0,,,,38628717.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=105872512
차트이탈,102531243,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,가요 / 발라드,85.0,,,21093.0,,,,1318338.0,,,,29176825.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=102531243
차트이탈,108040137,Mantra,제니 (JENNIE),가요 / 댄스,88.0,,,13063.0,,,,1042001.0,,,,20180130.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=108040137
차트이탈,106297207,해야 (HEYA),IVE (아이브),가요 / 댄스,89.0,,,20129.0,,,,1305867.0,,,,31974695.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106297207
차트이탈,102605425,사막에서 꽃을 피우듯,우디 (Woody),가요 / 발라드,90.0,,,25165.0,,,,1470549.0,,,,36317724.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=102605425
차트이탈,16108183,벌써 일년,브라운 아이즈,가요 / 발라드,91.0,,,35121.0,,,,2564026.0,,,,45846575.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=16108183
차트이탈,110308614,네모의 꿈,아이유 (IU),가요 / 발라드,93.0,,,7023.0,,,,523850.0,,,,4193277.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=110308614
차트이탈,98304971,I Don't Think That I Like Her,Charlie Puth,POP / 팝,95.0,,,52838.0,,,,2004983.0,,,,58798770.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=98304971
차트이탈,82280761,너의 모든 순간,성시경,OST / 드라마,96.0,,,67320.0,,,,4104142.0,,,,112048390.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=82280761
차트이탈,106290214,SPOT! (Feat. JENNIE),지코 (ZICO),가요 / 랩/힙합,98.0,,,22461.0,,,,1359978.0,,,,32272389.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106290214
차트이탈,88357385,Older,Sasha Alex Sloan,POP / 팝,99.0,,,25320.0,,,,965529.0,,,,13974012.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=88357385
유지,96696817,인생찬가,임영웅,가요 / 발라드,69.0,31.0,38.0,20614.0,20630.0,16.0,0.08,875370.0,875673.0,303.0,0.03,127065927.0,127165393.0,99466.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=96696817
유지,102067588,모래 알갱이,임영웅,가요 / 발라드,61.0,24.0,37.0,19934.0,19949.0,15.0,0.08,888659.0,889003.0,344.0,0.04,115446524.0,115548875.0,102351.0,0.09,https://www.genie.co.kr/detail/songInfo?xgnm=102067588
유지,106393876,온기,임영웅,가요 / 발라드,63.0,27.0,36.0,12249.0,12266.0,17.0,0.14,379427.0,379870.0,443.0,0.12,62981479.0,63084110.0,102631.0,0.16,https://www.genie.co.kr/detail/songInfo?xgnm=106393876
유지,103807036,Do or Die,임영웅,가요 / 댄스,64.0,29.0,35.0,14055.0,14066.0,11.0,0.08,505014.0,505345.0,331.0,0.07,99875977.0,99976215.0,100238.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=103807036
유지,106393875,Home,임영웅,가요 / 댄스,57.0,23.0,34.0,12544.0,12562.0,18.0,0.14,359125.0,359631.0,506.0,0.14,65385076.0,65492755.0,107679.0,0.16,https://www.genie.co.kr/detail/songInfo?xgnm=106393875
유지,99014221,London Boy,임영웅,가요 / 락,59.0,25.0,34.0,22789.0,22803.0,14.0,0.06,989642.0,989987.0,345.0,0.03,131416940.0,131521585.0,104645.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=99014221
유지,96696813,보금자리,임영웅,가요 / 트로트,67.0,33.0,34.0,20127.0,20143.0,16.0,0.08,856100.0,856461.0,361.0,0.04,106061424.0,106160608.0,99184.0,0.09,https://www.genie.co.kr/detail/songInfo?xgnm=96696813
유지,109752407,천국보다 아름다운,임영웅,가요 / 발라드,48.0,17.0,31.0,9971.0,10009.0,38.0,0.38,229232.0,230323.0,1091.0,0.48,29844540.0,30149863.0,305323.0,1.02,https://www.genie.co.kr/detail/songInfo?xgnm=109752407
유지,96696807,무지개,임영웅,가요 / 전체,55.0,26.0,29.0,27358.0,27372.0,14.0,0.05,1306560.0,1306902.0,342.0,0.03,139674758.0,139778795.0,104037.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=96696807
