순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
1,Golden,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:15,"EJAE,Mark Sonnenblick","IDO,24,TEDDY,EJAE,Mark Sonnenblick","IDO,24,TEDDY,Ian Eisendrath",37527,1031682,17934068,https://www.genie.co.kr/detail/songInfo?xgnm=110589415,110589415
2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:31,"Vince,KUSH,Danny Chung","24,DOMINSUK,Vince,KUSH","24,DOMINSUK,Ian Eisendrath",24342,839541,11570697,https://www.genie.co.kr/detail/songInfo?xgnm=110589414,110589414
3,뛰어(JUMP),BLACKPINK,뛰어(JUMP),가요 / 댄스,02:45,"TEDDY,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","TEDDY,Diplo,24,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","Diplo,24,Boaz van de Beatz,Zecca,Ape Drums",12662,760866,9338590,https://www.genie.co.kr/detail/songInfo?xgnm=110931419,110931419
4,FAMOUS,ALLDAY PROJECT,FAMOUS,가요 / 댄스,03:00,"TARZZAN,WOOCHAN,YOUNGSEO,TEDDY,Vince,Claudia Valentina,Zikai,Norib","Jumpa,Claudia Valentina,Zikai,Norib,Dominsuk,Vince","Jumpa,24,Dominsuk,Vince",14383,747870,10635533,https://www.genie.co.kr/detail/songInfo?xgnm=110552022,110552022
5,Drowning,WOODZ,OO-LI,가요 / 락,04:05,WOODZ,"WOODZ,네이슨 (NATHAN),Hoho","네이슨 (NATHAN),Hoho",45783,1378753,40031787,https://www.genie.co.kr/detail/songInfo?xgnm=101514417,101514417
6,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),가요 / 인디,04:17,MAKTUB,MAKTUB,MAKTUB,16882,938067,16577612,https://www.genie.co.kr/detail/songInfo?xgnm=108746466,108746466
7,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:12,"EJAE,Mark Sonnenblick","24,IDO,KUSH,Vince","24,IDO,Ian Eisendrath",15095,631382,6846382,https://www.genie.co.kr/detail/songInfo?xgnm=110589418,110589418
8,너에게 닿기를,10CM,너에게 닿기를,가요 / 락,02:39,Tomofumi Tanizawa,Tomofumi Tanizawa,"10CM,이요한,성수용,이윤혁,방인재",23588,1042384,18164766,https://www.genie.co.kr/detail/songInfo?xgnm=109330096,109330096
9,How It's Done,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:56,"EJAE,Mark Sonnenblick,Danny Chung","24,IDO,TEDDY,EJAE,Mark Sonnenblick","24,IDO,TEDDY,Ian Eisendrath",12585,566999,5270335,https://www.genie.co.kr/detail/songInfo?xgnm=110589413,110589413
10,모르시나요 (Prod. by 로코베리),조째즈,모르시나요,가요 / 발라드,05:02,"베리 (Rocoberry),K-Smith",베리 (Rocoberry),이유진,25630,1143094,24983982,https://www.genie.co.kr/detail/songInfo?xgnm=108805752,108805752
11,Whiplash,aespa,Whiplash - The 5th Mini Album,가요 / 댄스,03:03,Leslie (XYXX),"Marcus Lomax,Neil Ormandy,Rosina 'Soaky Siren' Russell,Lewis Jankel","Lewis Jankel,Neil Ormandy",27834,1358300,40254499,https://www.genie.co.kr/detail/songInfo?xgnm=108110514,108110514
12,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,OST / 드라마,04:03,강태규,홍진영,한밤 (Midnight),68338,2613259,268668336,https://www.genie.co.kr/detail/songInfo?xgnm=94535712,94535712
13,시작의 아이 ❍,박다혜 & 마크툽 (Maktub),시작의 아이 ❍ ハジマリのコ Starting With You : ♡,가요 / 인디,04:17,마크툽 (MAKTUB),마크툽 (MAKTUB),마크툽 (MAKTUB),4987,264213,1691558,https://www.genie.co.kr/detail/songInfo?xgnm=111280752,111280752
14,like JENNIE,제니 (JENNIE),Ruby,가요 / 댄스,02:04,"제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","제니 (JENNIE),Tayla Parx,Amanda 'Kiddo A.I.' Ibanez,지코 (ZICO),Diplo,Jorge Antonio Alfonzo Sr.","Diplo,Leclair,jorge",16313,1018486,19711465,https://www.genie.co.kr/detail/songInfo?xgnm=109342665,109342665
15,Dirty Work,aespa,Dirty Work,가요 / 댄스,03:00,정물화 (JamFactory),"Evan Blair,UPSAHL,Elijah Noll,IMLAY","Evan Blair,IMLAY",8217,646768,7257798,https://www.genie.co.kr/detail/songInfo?xgnm=110452518,110452518
16,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,가요 / 트로트,04:03,김이나,조영수,"조영수,이유진",66610,3050151,368721041,https://www.genie.co.kr/detail/songInfo?xgnm=90077755,90077755
17,천국보다 아름다운,임영웅,천국보다 아름다운,가요 / 발라드,04:55,4BOUT (어바웃),"4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav","4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav",10009,230323,30149863,https://www.genie.co.kr/detail/songInfo?xgnm=109752407,109752407
18,우리들의 블루스,임영웅,IM HERO,가요 / 발라드,03:27,지훈,"이승주,최인환","이승주,최인환",38662,1817630,190186039,https://www.genie.co.kr/detail/songInfo?xgnm=96549502,96549502
19,다시 만날 수 있을까,임영웅,IM HERO,가요 / 발라드,04:34,이적,이적,양시온,31932,1578942,174659384,https://www.genie.co.kr/detail/songInfo?xgnm=96696809,96696809
20,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,가요 / 발라드,03:56,김창환,김건모,신성진,11562,724793,10419301,https://www.genie.co.kr/detail/songInfo?xgnm=109608007,109608007
