분류,곡ID,곡명,아티스트,장르,어제순위,오늘순위,순위변동,어제좋아요,오늘좋아요,좋아요변동,좋아요변화율(%),어제전체청취자수,오늘전체청취자수,청취자수변동,청취자수변화율(%),어제전체재생수,오늘전체재생수,재생수변동,재생수변화율(%),URL
신규진입,100522029,심 (心),DK (디셈버),가요 / 락,,95.0,,,25164.0,,,,1636991.0,,,,47977892.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=100522029
신규진입,82280761,너의 모든 순간,성시경,OST / 드라마,,99.0,,,67304.0,,,,4103539.0,,,,112023178.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=82280761
차트이탈,107143457,클락션 (Klaxon),i-dle (아이들),가요 / 댄스,83.0,,,15306.0,,,,1164928.0,,,,23419426.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=107143457
차트이탈,88357385,Older,Sasha Alex Sloan,POP / 팝,97.0,,,25248.0,,,,963492.0,,,,13927037.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=88357385
유지,96696817,인생찬가,임영웅,가요 / 발라드,91.0,63.0,28.0,20579.0,20595.0,16.0,0.08,874851.0,875141.0,290.0,0.03,126901217.0,126982076.0,80859.0,0.06,https://www.genie.co.kr/detail/songInfo?xgnm=96696817
유지,103807036,Do or Die,임영웅,가요 / 댄스,84.0,62.0,22.0,14005.0,14030.0,25.0,0.18,504419.0,504744.0,325.0,0.06,99709934.0,99791177.0,81243.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=103807036
유지,99014221,London Boy,임영웅,가요 / 락,74.0,57.0,17.0,22747.0,22771.0,24.0,0.11,989019.0,989358.0,339.0,0.03,131247713.0,131330887.0,83174.0,0.06,https://www.genie.co.kr/detail/songInfo?xgnm=99014221
유지,102067588,모래 알갱이,임영웅,가요 / 발라드,75.0,58.0,17.0,19897.0,19917.0,20.0,0.1,888046.0,888395.0,349.0,0.04,115277486.0,115360135.0,82649.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=102067588
유지,106393876,온기,임영웅,가요 / 발라드,78.0,61.0,17.0,12205.0,12229.0,24.0,0.2,378662.0,379074.0,412.0,0.11,62812152.0,62894961.0,82809.0,0.13,https://www.genie.co.kr/detail/songInfo?xgnm=106393876
유지,96696813,보금자리,임영웅,가요 / 트로트,81.0,64.0,17.0,20088.0,20109.0,21.0,0.1,855453.0,855814.0,361.0,0.04,105897582.0,105977996.0,80414.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=96696813
유지,106393875,Home,임영웅,가요 / 댄스,69.0,53.0,16.0,12495.0,12524.0,29.0,0.23,358248.0,358721.0,473.0,0.13,65212287.0,65297345.0,85058.0,0.13,https://www.genie.co.kr/detail/songInfo?xgnm=106393875
유지,96696807,무지개,임영웅,가요 / 전체,70.0,54.0,16.0,27318.0,27337.0,19.0,0.07,1305938.0,1306284.0,346.0,0.03,139505969.0,139587800.0,81831.0,0.06,https://www.genie.co.kr/detail/songInfo?xgnm=96696807
유지,109752407,천국보다 아름다운,임영웅,가요 / 발라드,57.0,46.0,11.0,9913.0,9948.0,35.0,0.35,227351.0,228415.0,1064.0,0.47,29346019.0,29590510.0,244491.0,0.83,https://www.genie.co.kr/detail/songInfo?xgnm=109752407
유지,96696809,다시 만날 수 있을까,임영웅,가요 / 발라드,53.0,44.0,9.0,31871.0,31891.0,20.0,0.06,1577383.0,1577924.0,541.0,0.03,174365969.0,174454561.0,88592.0,0.05,https://www.genie.co.kr/detail/songInfo?xgnm=96696809
유지,96549502,우리들의 블루스,임영웅,가요 / 발라드,51.0,43.0,8.0,38602.0,38621.0,19.0,0.05,1816021.0,1816540.0,519.0,0.03,189888998.0,189977539.0,88541.0,0.05,https://www.genie.co.kr/detail/songInfo?xgnm=96549502
